"","Total costs","Total QALYs","Net benefit (£20k/QALY)","Net benefit (£30k/QALY)","Incremental costs","Incremental QALYs","Incremental net benefit (£20k/QALY)","Incremental net benefit (£30k/QALY)","ICER"
"Cem CR_Fix Mod","20364.82, (15918.23, 26118.78)","9.24, (6.83, 11.23)","164506.33, (117860.58, 207188.10)","256941.90, (186120.42, 319461.00)","-","-","-","-","-"
"Cem CR_Fix Mono","19977.31, (13065.50, 24843.07)","9.28, (6.45, 11.39)","165702.58, (105640.54, 214116.28)","258542.52, (170136.50, 328055.99)","-387.51, (-6991.30, 5104.08)","0.04, (-1.82, 1.81)","1196.25, (-40628.27, 43181.92)","1600.62, (-58837.86, 61277.23)","Dominant"
"Cem CR_Mob Mod","23738.34, (20586.01, 28352.68)","8.34, (6.49, 9.90)","143159.43, (1e+05, 176062.04)","226608.32, (167585.64, 275021.69)","3373.52, (-62.60, 10322.69)","-0.90, (-2.30, 0.11)","-21346.89, (-48026.66, 1306.34)","-30333.58, (-71043.25, 2380.47)","Dominated"
"Cem PS_Fix Mod","23196.97, (19719.17, 28008.03)","8.32, (6.49, 9.85)","143104.23, (1e+05, 176466.60)","226254.82, (168141.22, 274975.67)","2832.15, (-364.02, 9812.28)","-0.93, (-2.32, -0.026)","-21402.10, (-48016.73, -1056.09)","-30687.07, (-71221.38, -1314.46)","Dominated"
"Cem PS_Mob Mod","23618.14, (21596.75, 27621.20)","8.42, (6.62, 10.21)","144691.19, (108240.82, 181016.83)","228845.85, (174514.56, 283141.11)","3253.32, (48.10, 8876.34)","-0.83, (-2.31, 0.89)","-19815.14, (-53248.98, 14960.44)","-28096.05, (-76358.49, 23864.94)","Dominated"
"Cem Con_Con Mod","22722.61, (19092.67, 28035.24)","9.28, (7.52, 11.17)","162825.18, (122387.06, 2e+05)","255599.08, (2e+05, 315486.66)","2357.79, (-2778.92, 8022.71)","0.034, (-1.86, 2.30)","-1681.14, (-43670.25, 43306.15)","-1342.82, (-62252.89, 66344.64)","69690.17"
"Unc CR_Fix Mod","24558.36, (21116.43, 30492.64)","8.15, (6.66, 9.52)","138427.51, (1e+05, 168289.11)","219920.45, (169182.51, 263536.09)","4193.54, (375.36, 9440.15)","-1.09, (-2.78, 0.92)","-26078.81, (-65005.89, 12354.07)","-37021.45, (-92788.76, 21555.66)","Dominated"
"Unc CR_Mob Mod","23442.13, (20524.40, 28417.33)","8.37, (6.37, 10.51)","143972.31, (1e+05, 187616.89)","227679.52, (164454.74, 292728.84)","3077.30, (-4.00, 9963.58)","-0.87, (-2.42, 0.021)","-20534.02, (-50040.83, -278.88)","-29262.38, (-74122.33, -66.27)","Dominated"
"Unc PS_Fix Mod","26754.95, (24193.41, 30124.15)","7.71, (6.31, 9.64)","127536.34, (97090.65, 166849.71)","2e+05, (160330.23, 263221.27)","6390.13, (3391.91, 9520.60)","-1.53, (-3.36, 0.98)","-36969.98, (-74874.96, 12907.85)","-52259.91, (-108511.35, 22743.05)","Dominated"
"Hyb CR_Fix Mod","23258.65, (19117.00, 28313.36)","8.04, (6.10, 9.64)","137604.76, (95099.90, 172707.89)","218036.46, (156068.29, 269153.05)","2893.82, (-1300.64, 10045.58)","-1.20, (-2.08, -0.64)","-26901.57, (-48709.58, -14044.36)","-38905.44, (-69537.43, -20440.68)","Dominated"
"OX Cem CR_Fix Mod","20824.68, (17944.44, 24298.43)","9.14, (7.62, 10.65)","161989.22, (130777.38, 194808.06)","253396.17, (207091.81, 3e+05)","459.86, (-2418.53, 5429.45)","-0.10, (-0.79, 1.23)","-2517.11, (-20202.75, 23506.34)","-3545.73, (-27591.85, 35765.68)","Dominated"
"OX Cem PS_Fix Mod","25394.06, (21022.96, 31195.94)","7.99, (6.05, 10.05)","134337.02, (90041.07, 178664.10)","214202.57, (150659.57, 278688.50)","5029.24, (866.68, 10761.81)","-1.26, (-3.58, 0.50)","-30169.30, (-82291.03, 7977.57)","-42739.33, (-118055.64, 13024.39)","Dominated"
